StockCode,ProductName,Category,PriceSegment
16219,"HOUSE SHAPE PENCIL SHARPENER",Other,Budget
16225,"RATTLE SNAKE EGGS",Other,Budget
16235,"RECYCLED PENCIL WITH RABBIT ERASER",Other,Budget
16236,"KITTY PENCIL ERASERS",Other,Budget
16237,"SLEEPING CAT ERASERS",Other,Budget
16238,"PARTY TIME PENCIL ERASERS",Other,Budget
16244B,"MAXWELL 2 TONE BLUE 60 PAGE PHOTO A",Other,Budget
16248B,"BLUE HOLE PUNCH",Other,Budget
16254,"TRANSPARENT ACRYLIC TAPE DISPENSER",Other,Budget
16258A,"SWIRLY CIRCULAR RUBBERS IN BAG",Other,Budget
16259,"PIECE OF CAMO STATIONERY SET",Other,Budget
17001,"HEAVENS SCENT FRAGRANCE OILS ASSTD",Other,Budget
17003,"BROCADE RING PURSE ",Other,Budget
17007B,"S/3 POT POURI CUSHIONS BLUE COLOURS",Other,Budget
17011F,"ORIGAMI SANDLEWOOD INCENSE+FLOWER",Other,Budget
17012A,"ORIGAMI VANILLA INCENSE/CANDLE SET ",Decor,Budget
17012B,"ORIGAMI JASMINE INCENSE/CANDLE SET",Decor,Budget
17012C,"ORIGAMI LAVENDER INCENSE/CANDL SET ",Other,Budget
17012D,"ORIGAMI ROSE INCENSE/CANDLE SET ",Decor,Budget
17012E,"ORIGAMI OPIUM INCENSE/CANDLE SET ",Decor,Budget
17012F,"ORIGAMI SANDLEWOOD INCENSE/CAND SET",Other,Budget
17013D,"ORIGAMI ROSE INCENSE IN TUBE",Other,Budget
17014A,"ORIGAMI VANILLA INCENSE CONES",Other,Budget
17021,"NAMASTE SWAGAT INCENSE",Other,Budget
17028J,"INCENSE BAZAAR PEACH",Other,Budget
17038,"PORCELAIN BUDAH INCENSE HOLDER",Other,Budget
17084A,"TRANQUILITY MASALA INCENSE",Other,Budget
17084J,"LOVE POTION MASALA INCENSE",Other,Budget
17084N,"FAIRY DREAMS INCENSE ",Other,Budget
17084P,"DRAGONS BLOOD INCENSE",Other,Budget
17084R,"ASSORTED INCENSE PACK",Other,Budget
17090A,"LAVENDER INCENSE 40 CONES IN TIN",Other,Budget
17090D,"VANILLA INCENSE 40 CONES IN TIN",Other,Budget
17091A,"LAVENDER INCENSE IN TIN",Other,Budget
17091J,"VANILLA INCENSE IN TIN",Other,Budget
17096,"ASSORTED LAQUERED INCENSE HOLDERS",Other,Budget
17107D,"FLOWER FAIRY 5 DRAWER LINERS",Other,Budget
17107D,"FLOWER FAIRY 5 SUMMER DRAW LINERS",Other,Budget
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",Other,Budget
17109D,"FLOWER FAIRY INCENSE BOUQUET",Other,Budget
17129F,"BLUE GLASS GEMS IN BAG",Other,Budget
17136A,"BLUE STONES ON WIRE FOR CANDLE",Decor,Budget
17164B,"ASS COL SMALL SAND GECKO P'WEIGHT",Other,Budget
17165D,"ASS COL LARGE SAND FROG P'WEIGHT",Other,Budget
17174,"ASSTD RASTA KEY-CHAINS",Other,Budget
17191A,"ROSE FLOWER CANDLE+INCENSE 16X16CM",Decor,Budget
18007,"ESSENTIAL BALM 3.5g TIN IN ENVELOPE",Other,Budget
18094C,"WHITE AND BLUE CERAMIC OIL BURNER",Other,Budget
18097A,"PINK TALL PORCELAIN T-LIGHT HOLDER ",Lighting,Budget
18097C,"WHITE TALL PORCELAIN T-LIGHT HOLDER",Lighting,Budget
18098C,"PORCELAIN BUTTERFLY OIL BURNER",Other,Budget
20615,"BLUE POLKADOT PASSPORT COVER",Other,Budget
20616,"CHERRY BLOSSOM PASSPORT COVER",Other,Budget
20617,"FIRST CLASS PASSPORT COVER ",Other,Budget
20618,"QUEEN OF THE SKIES PASSPORT COVER ",Other,Budget
20619,"TROPICAL PASSPORT COVER ",Other,Budget
20622,"VIP PASSPORT COVER ",Other,Budget
20622,"VIPPASSPORT COVER ",Other,Budget
20652,"BLUE POLKADOT LUGGAGE TAG ",Other,Budget
20653,"CHERRY BLOSSOM LUGGAGE TAG",Other,Budget
20654,"FIRST CLASS LUGGAGE TAG ",Other,Budget
20655,"QUEEN OF SKIES LUGGAGE TAG",Other,Budget
20657,"TROPICAL LUGGAGE TAG",Other,Budget
20658,"RED RETROSPOT LUGGAGE TAG",Other,Budget
20659,"ECONOMY LUGGAGE TAG",Other,Budget
20661,"BLUE POLKADOT PURSE ",Other,Budget
20661,"BLUE POLKADOT PURSE ",Other,Standard
20662,"FIRST CLASS HOLIDAY PURSE ",Other,Budget
20662,"FIRST CLASS HOLIDAY PURSE ",Other,Standard
20663,"QUEEN OF THE SKIES HOLIDAY PURSE ",Other,Budget
20663,"QUEEN OF THE SKIES HOLIDAY PURSE ",Other,Standard
20664,"TROPICAL HOLIDAY PURSE ",Other,Budget
20665,"RED RETROSPOT PURSE ",Other,Budget
20666,"ECONOMY HOLIDAY PURSE",Other,Budget
20667,"CHERRY BLOSSOM PURSE",Other,Budget
20668,"DISCO BALL CHRISTMAS DECORATION",Decor,Budget
20669,"RED HEART LUGGAGE TAG",Other,Budget
20670,"VIP HOLIDAY PURSE",Other,Budget
20670,"VIP HOLIDAY PURSE",Other,Standard
20671,"BLUE TEATIME PRINT BOWL ",Other,Budget
20674,"GREEN POLKADOT BOWL",Other,Budget
20675,"BLUE POLKADOT BOWL",Other,Budget
20676,"RED RETROSPOT BOWL",Other,Budget
20677,"PINK POLKADOT BOWL",Other,Budget
20678,"LARGE BLACK DIAMANTE HAIRSLIDE",Other,Budget
20679,"EDWARDIAN PARASOL RED",Other,Budget
20679,"EDWARDIAN PARASOL RED",Other,Standard
20681,"PINK POLKADOT CHILDRENS UMBRELLA",Other,Budget
20682,"RED RETROSPOT CHILDRENS UMBRELLA",Other,Budget
20682,"RED RETROSPOT CHILDRENS UMBRELLA",Other,Standard
20684,"STRAWBERRY DREAM CHILDS UMBRELLA",Other,Budget
20685,"DOORMAT RED RETROSPOT",Other,Budget
20685,"DOORMAT RED RETROSPOT",Other,Premium
20685,"DOORMAT RED RETROSPOT",Other,Standard
20686,"DOLLY MIXTURE CHILDREN'S UMBRELLA",Other,Budget
20686,"DOLLY MIXTURE CHILDREN'S UMBRELLA",Other,Standard
20694,"FLORAL PINK MONSTER",Other,Budget
20695,"FLORAL BLUE MONSTER",Other,Budget
20696,"FLORAL SOFT CAR TOY",Other,Budget
20697,"LITTLE GREEN MONSTER SOFT TOY",Other,Budget
20698,"LITTLE PINK MONSTER SOFT TOY",Other,Budget
20699,"MOUSEY LONG LEGS SOFT TOY",Other,Budget
20700,"GREEN CAT FLORAL CUSHION COVER ",Other,Budget
20701,"PINK CAT FLORAL CUSHION COVER ",Other,Budget
20702,"PINK PADDED MOBILE",Other,Budget
20703,"BLUE PADDED SOFT MOBILE",Other,Budget
20704,"MR ROBOT SOFT TOY",Other,Budget
20704,"MR ROBOT SOFT TOY",Other,Standard
20705,"MRS ROBOT SOFT TOY",Other,Budget
20705,"MRS ROBOT SOFT TOY",Other,Standard
20707,"CRAZY DAISY HEART DECORATION",Decor,Budget
20711,"JUMBO BAG TOYS ",Other,Budget
20712,"JUMBO BAG WOODLAND ANIMALS",Other,Budget
20713,"JUMBO BAG OWLS",Other,Budget
20716,"PARTY FOOD SHOPPER BAG",Other,Budget
20717,"STRAWBERRY SHOPPER BAG",Other,Budget
20718,"RED RETROSPOT SHOPPER BAG",Other,Budget
20719,"WOODLAND CHARLOTTE BAG",Other,Budget
20723,"STRAWBERRY CHARLOTTE BAG",Other,Budget
20724,"RED RETROSPOT CHARLOTTE BAG",Other,Budget
20725,"LUNCH BAG RED RETROSPOT",Other,Budget
20725,"LUNCH BAG RED SPOTTY",Other,Budget
20726,"LUNCH BAG WOODLAND",Other,Budget
20727,"LUNCH BAG  BLACK SKULL.",Other,Budget
20728,"LUNCH BAG CARS BLUE",Other,Budget
20731,"POSY CANDY BAG",Other,Budget
20733,"GOLD MINI TAPE MEASURE ",Other,Budget
20735,"BLACK MINI TAPE MEASURE ",Other,Budget
20748,"KENSINGTON COFFEE SET",Other,Standard
20749,"ASSORTED COLOUR MINI CASES",Other,Premium
20749,"ASSORTED COLOUR MINI CASES",Other,Standard
20750,"RED RETROSPOT MINI CASES",Other,Standard
20751,"FUNKY WASHING UP GLOVES ASSORTED",Other,Budget
20752,"BLUE POLKADOT WASHING UP GLOVES",Other,Budget
20754,"RETROSPOT RED WASHING UP GLOVES",Other,Budget
20755,"BLUE PAISLEY POCKET BOOK",Other,Budget
20756,"GREEN FERN POCKET BOOK",Other,Budget
20757,"RED DAISY POCKET BOOK ",Other,Budget
20758,"ABSTRACT CIRCLES POCKET BOOK",Other,Budget
20759,"CHRYSANTHEMUM POCKET BOOK ",Other,Budget
20760,"GARDEN PATH POCKET BOOK",Other,Budget
20761,"BLUE PAISLEY SKETCHBOOK",Other,Budget
20761,"BLUE PAISLEY SKETCHBOOK",Other,Standard
20762,"GREEN FERN SKETCHBOOK ",Other,Budget
20762,"GREEN FERN SKETCHBOOK ",Other,Standard
20763,"DAISY SKETCHBOOK ",Other,Budget
20763,"DAISY SKETCHBOOK ",Other,Standard
20764,"ABSTRACT CIRCLES SKETCHBOOK ",Other,Budget
20764,"ABSTRACT CIRCLES SKETCHBOOK ",Other,Standard
20765,"CHRYSANTHEMUM SKETCHBOOK ",Other,Budget
20765,"CHRYSANTHEMUM SKETCHBOOK ",Other,Standard
20766,"GARDEN PATH SKETCHBOOK",Other,Budget
20766,"GARDEN PATH SKETCHBOOK",Other,Standard
20767,"BLUE PAISLEY JOURNAL ",Other,Budget
20768,"GREEN FERN JOURNAL ",Other,Budget
20769,"DAISY JOURNAL ",Other,Budget
20770,"ABSTRACT CIRCLE JOURNAL ",Other,Budget
20771,"CHRYSANTHEMUM  JOURNAL",Other,Budget
20772,"GARDEN PATH JOURNAL",Other,Budget
20773,"BLUE PAISLEY NOTEBOOK",Other,Budget
20774,"GREEN FERN NOTEBOOK",Other,Budget
20775,"DAISY NOTEBOOK ",Other,Budget
20777,"CHRYSANTHEMUM NOTEBOOK",Other,Budget
20778,"GARDEN PATH NOTEBOOK ",Other,Budget
20780,"BLACK EAR MUFF HEADPHONES",Other,Budget
20780,"BLACK EAR MUFF HEADPHONES",Other,Standard
20781,"GOLD EAR MUFF HEADPHONES",Other,Budget
20781,"GOLD EAR MUFF HEADPHONES",Other,Standard
20782,"CAMOUFLAGE EAR MUFF HEADPHONES",Other,Budget
20782,"CAMOUFLAGE EAR MUFF HEADPHONES",Other,Standard
20785,"FUSCHIA RETRO BAR STOOL",Other,Luxury
20793,"BLUE TILED TRAY",Other,Standard
20794,"BLUE  TILE HOOK",Other,Budget
20795,"LARGE BLUE PROVENCAL CERAMIC BALL",Other,Budget
20796,"SMALL BLUE PROVENCAL CERAMIC BALL",Other,Budget
20798,"CLEAR MILKSHAKE GLASS",Other,Budget
20801,"LARGE PINK GLASS SUNDAE DISH",Other,Budget
20802,"SMALL GLASS SUNDAE DISH CLEAR",Other,Budget
20803,"SMALL PINK GLASS SUNDAE DISH",Other,Budget
20816,"GOLD FLOWER CUSHION COVER ",Other,Budget
20818,"GOLD TEDDY BEAR",Other,Budget
20819,"SILVER TEDDY BEAR",Other,Budget
20819,"SILVER TEDDY BEAR",Other,Standard
20820,"SILVER LOOKING MIRROR",Other,Budget
20821,"GOLDIE LOOKING MIRROR",Other,Budget
20823,"GOLD WINE GOBLET",Other,Budget
20826,"SILVER APERITIF GLASS",Other,Budget
20827,"GOLD APERITIF GLASS",Other,Budget
20828,"GLITTER BUTTERFLY CLIPS",Other,Budget
20829,"GLITTER HANGING BUTTERFLY STRING",Other,Budget
20830,"SILVER PHOTO FRAME",Other,Budget
20831,"GOLD PHOTO FRAME",Other,Budget
20832,"RED FLOCK LOVE HEART PHOTO FRAME",Other,Budget
20835,"FRENCH LATTICE CUSHION COVER ",Other,Budget
20836,"FRENCH PAISLEY CUSHION COVER",Other,Budget
20837,"FRENCH FLORAL CUSHION COVER ",Other,Budget
20838,"FRENCH LATTICE CUSHION COVER ",Other,Budget
20839,"FRENCH PAISLEY CUSHION COVER ",Other,Budget
20840,"FRENCH FLORAL CUSHION COVER ",Other,Budget
20845,"ZINC HEART LATTICE 2 WALL PLANTER",Other,Standard
20846,"ZINC HEART LATTICE T-LIGHT HOLDER",Lighting,Budget
20847,"ZINC HEART LATTICE CHARGER LARGE",Other,Budget
20848,"ZINC HEART LATTICE CHARGER SMALL",Other,Budget
20851,"ZINC HEART LATTICE TRAY OVAL ",Other,Standard
20854,"BLUE PATCH PURSE PINK HEART",Other,Budget
20856,"DENIM PATCH PURSE PINK BUTTERFLY",Other,Budget
20857,"BLUE ROSE PATCH PURSE PINK BUTTERFL",Other,Budget
20861,"GOLD COSMETIC BAG PINK STAR",Other,Budget
20866,"BLUE ROSE FABRIC MIRROR",Other,Budget
20867,"PINK ROSE FABRIC MIRROR",Other,Budget
20868,"SILVER FABRIC MIRROR",Other,Budget
20869,"GOLD FABRIC MIRROR",Other,Budget
20878,"SET/9 CHRISTMAS T-LIGHTS SCENTED ",Lighting,Budget
20886,"BOX OF 9 PEBBLE CANDLES",Decor,Budget
20892,"SET/3 TALL GLASS CANDLE HOLDER PINK",Decor,Standard
20893,"HANGING BAUBLE T-LIGHT HOLDER SMALL",Lighting,Budget
20894,"HANGING BAUBLE T-LIGHT HOLDER LARGE",Lighting,Budget
20897,"VINTAGE NOTEBOOK PARIS DAYS",Other,Budget
20898,"VINTAGE NOTEBOOK TRAVELOGUE",Other,Budget
20901,"VINTAGE KEEPSAKE BOX PINK FLOWER","Gift Items",Standard
20902,"VINTAGE KEEPSAKE BOX PARIS DAYS","Gift Items",Standard
20903,"VINTAGE KEEPSAKE BOX TRAVELOGUE","Gift Items",Standard
20906,"VINTAGE NOTEBOOK BEAUTY GIRL",Other,Budget
20910,"VINTAGE PHOTO ALBUM PARIS DAYS",Other,Standard
20914,"SET/5 RED RETROSPOT LID GLASS BOWLS",Other,Budget
20914,"SET/5 RED RETROSPOT LID GLASS BOWLS",Other,Standard
20914,"SET/5 RED SPOTTY LID GLASS BOWLS",Other,Budget
20931,"BLUE POT PLANT CANDLE ",Decor,Budget
20932,"PINK POT PLANT CANDLE",Decor,Budget
20933,"YELLOW POT PLANT CANDLE",Decor,Budget
20934,"SET/3 POT PLANT CANDLES",Decor,Standard
20935,"ROUND CACTUS CANDLE",Decor,Budget
20936,"FORKED CACTUS CANDLE",Decor,Budget
20936,"FORKED CACTUS CANDLE",Decor,Standard
20941,"FROG CANDLE",Decor,Budget
20956,"PORCELAIN T-LIGHT HOLDERS ASSORTED",Lighting,Budget
20961,"STRAWBERRY BATH SPONGE ",Other,Budget
20963,"APPLE BATH SPONGE",Other,Budget
20964,"POLYESTER FILLER PAD 60x40cm",Other,Budget
20966,"SANDWICH BATH SPONGE",Other,Budget
20967,"GREY FLORAL FELTCRAFT SHOULDER BAG",Other,Budget
20969,"RED FLORAL FELTCRAFT SHOULDER BAG",Other,Budget
20969,"RED FLORAL FELTCRAFT SHOULDER BAG",Other,Standard
20970,"PINK FLORAL FELTCRAFT SHOULDER BAG",Other,Budget
20970,"PINK FLORAL FELTCRAFT SHOULDER BAG",Other,Standard
20971,"PINK BLUE FELT CRAFT TRINKET BOX","Gift Items",Budget
20972,"PINK CREAM FELT CRAFT TRINKET BOX ","Gift Items",Budget
20973,"12 PENCIL SMALL TUBE WOODLAND",Other,Budget
20974,"12 PENCILS SMALL TUBE SKULL",Other,Budget
20975,"12 PENCILS SMALL TUBE RED RETROSPOT",Other,Budget
20977,"36 PENCILS TUBE WOODLAND",Other,Budget
20978,"36 PENCILS TUBE SKULLS",Other,Budget
20979,"36 PENCILS TUBE RED RETROSPOT",Other,Budget
20980,"36 PENCILS TUBE POSY",Other,Budget
20981,"12 PENCILS TALL TUBE WOODLAND",Other,Budget
20982,"12 PENCILS TALL TUBE SKULLS",Other,Budget
20983,"12 PENCILS TALL TUBE RED RETROSPOT",Other,Budget
20984,"12 PENCILS TALL TUBE POSY",Other,Budget
20985,"HEART CALCULATOR",Other,Budget
20986,"BLUE CALCULATOR RULER",Other,Budget
20992,"JAZZ HEARTS PURSE NOTEBOOK",Other,Budget
20996,"JAZZ HEARTS ADDRESS BOOK",Other,Budget
20997,"ROSE DU SUD CUSHION COVER ",Other,Budget
20998,"ROSE DU SUD OVEN GLOVE",Other,Budget
21000,"ROSE DU SUD COSMETICS BAG",Other,Budget
21001,"ROSE DU SUD WASHBAG ",Other,Standard
21002,"ROSE DU SUD DRAWSTRING BAG",Other,Budget
21003,"ROSE DU SUD CUSHION COVER",Other,Standard
21011,"GLITTER SNOW PEAR TREE DECORATION",Decor,Budget
21012,"ANTIQUE ALL GLASS CANDLESTICK",Decor,Budget
21014,"SWISS CHALET TREE DECORATION ",Decor,Budget
21015,"DARK BIRD HOUSE TREE DECORATION",Decor,Budget
21018,"BIRD BOX CHRISTMAS TREE DECORATION",Decor,Budget
21025,"SPACE FROG",Other,Budget
21026,"SPACE OWL",Other,Budget
21027,"NINJA RABBIT PINK",Other,Budget
21028,"NINJA RABBIT BLACK",Other,Budget
21030,"SPACE CADET RED",Other,Budget
21031,"SPACE CADET BLACK",Other,Budget
21032,"SPACE CADET WHITE",Other,Budget
21033,"JUMBO BAG CHARLIE AND LOLA TOYS",Other,Budget
21034,"REX CASH+CARRY JUMBO SHOPPER",Other,Budget
21035,"SET/2 RED RETROSPOT TEA TOWELS ","Home & Textiles",Budget
21035,"SET/2 RED RETROSPOT TEA TOWELS ","Home & Textiles",Standard
21038,"SET/4 MODERN VINTAGE COTTON NAPKINS",Other,Budget
21039,"RED RETROSPOT SHOPPING BAG",Other,Budget
21039,"RED RETROSPOT SHOPPING BAG",Other,Standard
21040,"MODERN VINTAGE COTTON SHOPPING BAG",Other,Budget
21041,"RED RETROSPOT OVEN GLOVE DOUBLE",Other,Budget
21042,"RED RETROSPOT APRON ",Other,Standard
21043,"APRON MODERN VINTAGE COTTON",Other,Budget
21043,"APRON MODERN VINTAGE COTTON",Other,Standard
21051,"RIBBONS PURSE ",Other,Budget
21054,"NURSE'S BAG SOFT TOY",Other,Standard
21055,"TOOL BOX SOFT TOY ","Gift Items",Premium
21055,"TOOL BOX SOFT TOY ","Gift Items",Standard
21056,"DOCTOR'S BAG SOFT TOY",Other,Premium
21056,"DOCTOR'S BAG SOFT TOY",Other,Standard
21058,"PARTY INVITES WOODLAND",Other,Budget
21059,"PARTY INVITES DINOSAURS",Other,Budget
21060,"PARTY INVITES BALLOON GIRL",Other,Budget
21061,"PARTY INVITES FOOTBALL",Other,Budget
21062,"PARTY INVITES SPACEMAN",Other,Budget
21063,"PARTY INVITES JAZZ HEARTS",Other,Budget
21064,"BOOM BOX SPEAKER BOYS","Gift Items",Budget
21064,"BOOM BOX SPEAKER BOYS","Gift Items",Standard
21065,"BOOM BOX SPEAKER GIRLS","Gift Items",Budget
21065,"BOOM BOX SPEAKER GIRLS","Gift Items",Standard
21066,"VINTAGE RED MUG",Drinkware,Budget
21067,"VINTAGE RED TEATIME MUG",Drinkware,Budget
21068,"VINTAGE BILLBOARD LOVE/HATE MUG",Drinkware,Budget
21069,"VINTAGE BILLBOARD TEA MUG",Drinkware,Budget
21070,"VINTAGE BILLBOARD MUG ",Drinkware,Budget
21071,"VINTAGE BILLBOARD DRINK ME MUG",Drinkware,Budget
21078,"SET/20 STRAWBERRY PAPER NAPKINS ",Other,Budget
21080,"SET/20 RED RETROSPOT PAPER NAPKINS ",Other,Budget
21084,"SET/6 COLLAGE PAPER CUPS",Drinkware,Budget
21086,"SET/6 RED SPOTTY PAPER CUPS",Drinkware,Budget
21087,"SET/6 POSIES PAPER CUPS",Drinkware,Budget
21088,"SET/6 FRUIT SALAD PAPER CUPS",Drinkware,Budget
21089,"SET/6 GREEN SPRING PAPER CUPS",Drinkware,Budget
21090,"SET/6 COLLAGE PAPER PLATES",Other,Budget
21094,"SET/6 RED SPOTTY PAPER PLATES",Other,Budget
21095,"SET/6 POSIES PAPER PLATES",Other,Budget
21096,"SET/6 FRUIT SALAD  PAPER PLATES",Other,Budget
21098,"CHRISTMAS TOILET ROLL",Other,Budget
21100,"CHARLIE AND LOLA CHARLOTTE BAG",Other,Budget
21106,"CREAM SLICE FLANNEL CHOCOLATE SPOT ",Other,Budget
21107,"CREAM SLICE FLANNEL PINK SPOT ",Other,Budget
21108,"FAIRY CAKE FLANNEL ASSORTED COLOUR",Other,Budget
21109,"LARGE CAKE TOWEL CHOCOLATE SPOTS","Home & Textiles",Budget
21109,"LARGE CAKE TOWEL CHOCOLATE SPOTS","Home & Textiles",Standard
21109,"LARGE CAKE TOWEL, CHOCOLATE SPOTS","Home & Textiles",Standard
21110,"LARGE CAKE TOWEL PINK SPOTS","Home & Textiles",Budget
21110,"LARGE CAKE TOWEL PINK SPOTS","Home & Textiles",Standard
21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS","Home & Textiles",Budget
21112,"SWISS ROLL TOWEL PINK  SPOTS","Home & Textiles",Budget
21112,"SWISS ROLL TOWEL PINK  SPOTS","Home & Textiles",Standard
21112,"SWISS ROLL TOWEL, PINK  SPOTS","Home & Textiles",Budget
21114,"LAVENDER SCENTED FABRIC HEART",Other,Budget
21114,"LAVENDER SCENTED FABRIC HEART",Other,Standard
21115,"ROSE CARAVAN DOORSTOP",Other,Budget
21115,"ROSE CARAVAN DOORSTOP",Other,Standard
21116,"OWL DOORSTOP",Other,Budget
21116,"OWL DOORSTOP",Other,Standard
21117,"BLOND DOLL DOORSTOP",Other,Budget
21117,"BLOND DOLL DOORSTOP",Other,Standard
21121,"SET/10 RED POLKADOT PARTY CANDLES",Decor,Budget
21122,"SET/10 PINK POLKADOT PARTY CANDLES",Decor,Budget
21123,"SET/10 IVORY POLKADOT PARTY CANDLES",Decor,Budget
21124,"SET/10 BLUE POLKADOT PARTY CANDLES",Decor,Budget
21125,"SET 6 FOOTBALL CELEBRATION CANDLES",Decor,Budget
21126,"SET OF 6 GIRLS CELEBRATION CANDLES",Decor,Budget
21128,"GOLD FISHING GNOME",Other,Budget
21128,"GOLD FISHING GNOME",Other,Standard
21129,"SILVER FISHING GNOME ",Other,Standard
21131,"GOLD STANDING GNOME",Other,Budget
21132,"SILVER STANDING GNOME   ",Other,Budget
21135,"VICTORIAN  METAL POSTCARD SPRING",Other,Budget
21136,"PAINTED METAL PEARS ASSORTED",Other,Budget
21137,"BLACK RECORD COVER FRAME",Other,Budget
21137,"BLACK RECORD COVER FRAME",Other,Standard
21143,"ANTIQUE GLASS HEART DECORATION ",Decor,Budget
21145,"ANTIQUE GLASS PLACE SETTING",Other,Budget
21147,"JINGLE BELLS TREE DECORATION",Decor,Budget
21154,"RED RETROSPOT OVEN GLOVE ",Other,Budget
21155,"RED RETROSPOT PEG BAG",Other,Budget
21156,"RETROSPOT CHILDRENS APRON",Other,Budget
21157,"RED RETROSPOT WASHBAG",Other,Budget
21158,"MOODY GIRL DOOR HANGER ",Other,Budget
21159,"MOODY BOY  DOOR HANGER ",Other,Budget
21161,"KEEP OUT BOYS DOOR HANGER ",Other,Budget
21162,"TOXIC AREA  DOOR HANGER ",Other,Budget
21163,"DO NOT TOUCH MY STUFF DOOR HANGER ",Other,Budget
21164,"HOME SWEET HOME METAL SIGN ",Other,Budget
21165,"BEWARE OF THE CAT METAL SIGN ",Other,Budget
21166,"COOK WITH WINE METAL SIGN ",Other,Budget
21167,"WHITE SAGE INCENSE",Other,Budget
