"Date","Year","Month","Quarter","Week","DayName","DayOfWeek","Season","DayType","YearMonth"
"2011-01-25",2011,1,1,4,"Tuesday",3,"Winter","Weekday","2011-01"
"2011-01-26",2011,1,1,4,"Wednesday",4,"Winter","Weekday","2011-01"
"2011-01-27",2011,1,1,4,"Thursday",5,"Winter","Weekday","2011-01"
"2011-01-28",2011,1,1,4,"Friday",6,"Winter","Weekday","2011-01"
"2011-01-30",2011,1,1,5,"Sunday",1,"Winter","Weekend","2011-01"
"2011-01-31",2011,1,1,5,"Monday",2,"Winter","Weekday","2011-01"
"2011-02-01",2011,2,1,5,"Tuesday",3,"Winter","Weekday","2011-02"
"2011-02-02",2011,2,1,5,"Wednesday",4,"Winter","Weekday","2011-02"
"2011-02-03",2011,2,1,5,"Thursday",5,"Winter","Weekday","2011-02"
"2011-02-04",2011,2,1,5,"Friday",6,"Winter","Weekday","2011-02"
"2011-02-06",2011,2,1,6,"Sunday",1,"Winter","Weekend","2011-02"
"2011-02-07",2011,2,1,6,"Monday",2,"Winter","Weekday","2011-02"
"2011-02-08",2011,2,1,6,"Tuesday",3,"Winter","Weekday","2011-02"
"2011-02-09",2011,2,1,6,"Wednesday",4,"Winter","Weekday","2011-02"
"2011-02-10",2011,2,1,6,"Thursday",5,"Winter","Weekday","2011-02"
"2011-02-11",2011,2,1,6,"Friday",6,"Winter","Weekday","2011-02"
"2011-02-13",2011,2,1,7,"Sunday",1,"Winter","Weekend","2011-02"
"2011-02-14",2011,2,1,7,"Monday",2,"Winter","Weekday","2011-02"
"2011-02-15",2011,2,1,7,"Tuesday",3,"Winter","Weekday","2011-02"
"2011-02-16",2011,2,1,7,"Wednesday",4,"Winter","Weekday","2011-02"
"2011-02-17",2011,2,1,7,"Thursday",5,"Winter","Weekday","2011-02"
"2011-02-18",2011,2,1,7,"Friday",6,"Winter","Weekday","2011-02"
"2011-02-20",2011,2,1,8,"Sunday",1,"Winter","Weekend","2011-02"
"2011-02-21",2011,2,1,8,"Monday",2,"Winter","Weekday","2011-02"
"2011-02-22",2011,2,1,8,"Tuesday",3,"Winter","Weekday","2011-02"
"2011-02-23",2011,2,1,8,"Wednesday",4,"Winter","Weekday","2011-02"
"2011-02-24",2011,2,1,8,"Thursday",5,"Winter","Weekday","2011-02"
"2011-02-25",2011,2,1,8,"Friday",6,"Winter","Weekday","2011-02"
"2011-02-27",2011,2,1,9,"Sunday",1,"Winter","Weekend","2011-02"
"2011-02-28",2011,2,1,9,"Monday",2,"Winter","Weekday","2011-02"
"2011-03-01",2011,3,1,9,"Tuesday",3,"Spring","Weekday","2011-03"
"2011-03-02",2011,3,1,9,"Wednesday",4,"Spring","Weekday","2011-03"
"2011-03-03",2011,3,1,9,"Thursday",5,"Spring","Weekday","2011-03"
"2011-03-04",2011,3,1,9,"Friday",6,"Spring","Weekday","2011-03"
"2011-03-06",2011,3,1,10,"Sunday",1,"Spring","Weekend","2011-03"
"2011-03-07",2011,3,1,10,"Monday",2,"Spring","Weekday","2011-03"
"2011-03-08",2011,3,1,10,"Tuesday",3,"Spring","Weekday","2011-03"
"2011-03-09",2011,3,1,10,"Wednesday",4,"Spring","Weekday","2011-03"
"2011-03-10",2011,3,1,10,"Thursday",5,"Spring","Weekday","2011-03"
"2011-03-11",2011,3,1,10,"Friday",6,"Spring","Weekday","2011-03"
"2011-03-13",2011,3,1,11,"Sunday",1,"Spring","Weekend","2011-03"
"2011-03-14",2011,3,1,11,"Monday",2,"Spring","Weekday","2011-03"
"2011-03-15",2011,3,1,11,"Tuesday",3,"Spring","Weekday","2011-03"
"2011-03-16",2011,3,1,11,"Wednesday",4,"Spring","Weekday","2011-03"
"2011-03-17",2011,3,1,11,"Thursday",5,"Spring","Weekday","2011-03"
"2011-03-18",2011,3,1,11,"Friday",6,"Spring","Weekday","2011-03"
"2011-03-20",2011,3,1,12,"Sunday",1,"Spring","Weekend","2011-03"
"2011-03-21",2011,3,1,12,"Monday",2,"Spring","Weekday","2011-03"
"2011-03-22",2011,3,1,12,"Tuesday",3,"Spring","Weekday","2011-03"
"2011-03-23",2011,3,1,12,"Wednesday",4,"Spring","Weekday","2011-03"
"2011-03-24",2011,3,1,12,"Thursday",5,"Spring","Weekday","2011-03"
"2011-03-25",2011,3,1,12,"Friday",6,"Spring","Weekday","2011-03"
"2011-03-27",2011,3,1,13,"Sunday",1,"Spring","Weekend","2011-03"
"2011-03-28",2011,3,1,13,"Monday",2,"Spring","Weekday","2011-03"
"2011-03-29",2011,3,1,13,"Tuesday",3,"Spring","Weekday","2011-03"
"2011-03-30",2011,3,1,13,"Wednesday",4,"Spring","Weekday","2011-03"
"2011-03-31",2011,3,1,13,"Thursday",5,"Spring","Weekday","2011-03"
"2011-04-01",2011,4,2,13,"Friday",6,"Spring","Weekday","2011-04"
"2011-04-03",2011,4,2,14,"Sunday",1,"Spring","Weekend","2011-04"
"2011-04-04",2011,4,2,14,"Monday",2,"Spring","Weekday","2011-04"
"2011-04-05",2011,4,2,14,"Tuesday",3,"Spring","Weekday","2011-04"
"2011-04-06",2011,4,2,14,"Wednesday",4,"Spring","Weekday","2011-04"
"2011-04-07",2011,4,2,14,"Thursday",5,"Spring","Weekday","2011-04"
"2011-04-08",2011,4,2,14,"Friday",6,"Spring","Weekday","2011-04"
"2011-04-10",2011,4,2,15,"Sunday",1,"Spring","Weekend","2011-04"
"2011-04-11",2011,4,2,15,"Monday",2,"Spring","Weekday","2011-04"
"2011-04-12",2011,4,2,15,"Tuesday",3,"Spring","Weekday","2011-04"
"2011-04-13",2011,4,2,15,"Wednesday",4,"Spring","Weekday","2011-04"
"2011-04-14",2011,4,2,15,"Thursday",5,"Spring","Weekday","2011-04"
"2011-04-15",2011,4,2,15,"Friday",6,"Spring","Weekday","2011-04"
"2011-04-17",2011,4,2,16,"Sunday",1,"Spring","Weekend","2011-04"
"2011-04-18",2011,4,2,16,"Monday",2,"Spring","Weekday","2011-04"
"2011-04-19",2011,4,2,16,"Tuesday",3,"Spring","Weekday","2011-04"
"2011-04-20",2011,4,2,16,"Wednesday",4,"Spring","Weekday","2011-04"
"2011-04-21",2011,4,2,16,"Thursday",5,"Spring","Weekday","2011-04"
"2011-04-26",2011,4,2,17,"Tuesday",3,"Spring","Weekday","2011-04"
"2011-04-27",2011,4,2,17,"Wednesday",4,"Spring","Weekday","2011-04"
"2011-04-28",2011,4,2,17,"Thursday",5,"Spring","Weekday","2011-04"
"2011-05-01",2011,5,2,18,"Sunday",1,"Spring","Weekend","2011-05"
"2011-05-03",2011,5,2,18,"Tuesday",3,"Spring","Weekday","2011-05"
"2011-05-04",2011,5,2,18,"Wednesday",4,"Spring","Weekday","2011-05"
"2011-05-05",2011,5,2,18,"Thursday",5,"Spring","Weekday","2011-05"
"2011-05-06",2011,5,2,18,"Friday",6,"Spring","Weekday","2011-05"
"2011-05-08",2011,5,2,19,"Sunday",1,"Spring","Weekend","2011-05"
"2011-05-09",2011,5,2,19,"Monday",2,"Spring","Weekday","2011-05"
"2011-05-10",2011,5,2,19,"Tuesday",3,"Spring","Weekday","2011-05"
"2011-05-11",2011,5,2,19,"Wednesday",4,"Spring","Weekday","2011-05"
"2011-05-12",2011,5,2,19,"Thursday",5,"Spring","Weekday","2011-05"
"2011-05-13",2011,5,2,19,"Friday",6,"Spring","Weekday","2011-05"
"2011-05-15",2011,5,2,20,"Sunday",1,"Spring","Weekend","2011-05"
"2011-05-16",2011,5,2,20,"Monday",2,"Spring","Weekday","2011-05"
"2011-05-17",2011,5,2,20,"Tuesday",3,"Spring","Weekday","2011-05"
"2011-05-18",2011,5,2,20,"Wednesday",4,"Spring","Weekday","2011-05"
"2011-05-19",2011,5,2,20,"Thursday",5,"Spring","Weekday","2011-05"
"2011-05-20",2011,5,2,20,"Friday",6,"Spring","Weekday","2011-05"
"2011-05-22",2011,5,2,21,"Sunday",1,"Spring","Weekend","2011-05"
"2011-05-23",2011,5,2,21,"Monday",2,"Spring","Weekday","2011-05"
"2011-05-24",2011,5,2,21,"Tuesday",3,"Spring","Weekday","2011-05"
"2011-05-25",2011,5,2,21,"Wednesday",4,"Spring","Weekday","2011-05"
"2011-05-26",2011,5,2,21,"Thursday",5,"Spring","Weekday","2011-05"
"2011-05-27",2011,5,2,21,"Friday",6,"Spring","Weekday","2011-05"
"2011-05-29",2011,5,2,22,"Sunday",1,"Spring","Weekend","2011-05"
"2011-05-31",2011,5,2,22,"Tuesday",3,"Spring","Weekday","2011-05"
"2011-06-01",2011,6,2,22,"Wednesday",4,"Summer","Weekday","2011-06"
"2011-06-02",2011,6,2,22,"Thursday",5,"Summer","Weekday","2011-06"
"2011-06-03",2011,6,2,22,"Friday",6,"Summer","Weekday","2011-06"
"2011-06-05",2011,6,2,23,"Sunday",1,"Summer","Weekend","2011-06"
"2011-06-06",2011,6,2,23,"Monday",2,"Summer","Weekday","2011-06"
"2011-06-07",2011,6,2,23,"Tuesday",3,"Summer","Weekday","2011-06"
"2011-06-08",2011,6,2,23,"Wednesday",4,"Summer","Weekday","2011-06"
"2011-06-09",2011,6,2,23,"Thursday",5,"Summer","Weekday","2011-06"
"2011-06-10",2011,6,2,23,"Friday",6,"Summer","Weekday","2011-06"
"2011-06-12",2011,6,2,24,"Sunday",1,"Summer","Weekend","2011-06"
"2011-06-13",2011,6,2,24,"Monday",2,"Summer","Weekday","2011-06"
"2011-06-14",2011,6,2,24,"Tuesday",3,"Summer","Weekday","2011-06"
"2011-06-15",2011,6,2,24,"Wednesday",4,"Summer","Weekday","2011-06"
"2011-06-16",2011,6,2,24,"Thursday",5,"Summer","Weekday","2011-06"
"2011-06-17",2011,6,2,24,"Friday",6,"Summer","Weekday","2011-06"
"2011-06-19",2011,6,2,25,"Sunday",1,"Summer","Weekend","2011-06"
"2011-06-20",2011,6,2,25,"Monday",2,"Summer","Weekday","2011-06"
"2011-06-21",2011,6,2,25,"Tuesday",3,"Summer","Weekday","2011-06"
"2011-06-22",2011,6,2,25,"Wednesday",4,"Summer","Weekday","2011-06"
"2011-06-23",2011,6,2,25,"Thursday",5,"Summer","Weekday","2011-06"
"2011-06-24",2011,6,2,25,"Friday",6,"Summer","Weekday","2011-06"
"2011-06-26",2011,6,2,26,"Sunday",1,"Summer","Weekend","2011-06"
"2011-06-27",2011,6,2,26,"Monday",2,"Summer","Weekday","2011-06"
"2011-06-28",2011,6,2,26,"Tuesday",3,"Summer","Weekday","2011-06"
"2011-06-29",2011,6,2,26,"Wednesday",4,"Summer","Weekday","2011-06"
"2011-06-30",2011,6,2,26,"Thursday",5,"Summer","Weekday","2011-06"
"2011-07-01",2011,7,3,26,"Friday",6,"Summer","Weekday","2011-07"
"2011-07-03",2011,7,3,27,"Sunday",1,"Summer","Weekend","2011-07"
"2011-07-04",2011,7,3,27,"Monday",2,"Summer","Weekday","2011-07"
"2011-07-05",2011,7,3,27,"Tuesday",3,"Summer","Weekday","2011-07"
"2011-07-06",2011,7,3,27,"Wednesday",4,"Summer","Weekday","2011-07"
"2011-07-07",2011,7,3,27,"Thursday",5,"Summer","Weekday","2011-07"
"2011-07-08",2011,7,3,27,"Friday",6,"Summer","Weekday","2011-07"
"2011-07-10",2011,7,3,28,"Sunday",1,"Summer","Weekend","2011-07"
"2011-07-11",2011,7,3,28,"Monday",2,"Summer","Weekday","2011-07"
"2011-07-12",2011,7,3,28,"Tuesday",3,"Summer","Weekday","2011-07"
"2011-07-13",2011,7,3,28,"Wednesday",4,"Summer","Weekday","2011-07"
"2011-07-14",2011,7,3,28,"Thursday",5,"Summer","Weekday","2011-07"
"2011-07-15",2011,7,3,28,"Friday",6,"Summer","Weekday","2011-07"
"2011-07-17",2011,7,3,29,"Sunday",1,"Summer","Weekend","2011-07"
"2011-07-18",2011,7,3,29,"Monday",2,"Summer","Weekday","2011-07"
"2011-07-19",2011,7,3,29,"Tuesday",3,"Summer","Weekday","2011-07"
"2011-07-20",2011,7,3,29,"Wednesday",4,"Summer","Weekday","2011-07"
"2011-07-21",2011,7,3,29,"Thursday",5,"Summer","Weekday","2011-07"
"2011-07-22",2011,7,3,29,"Friday",6,"Summer","Weekday","2011-07"
"2011-07-24",2011,7,3,30,"Sunday",1,"Summer","Weekend","2011-07"
"2011-07-25",2011,7,3,30,"Monday",2,"Summer","Weekday","2011-07"
"2011-07-26",2011,7,3,30,"Tuesday",3,"Summer","Weekday","2011-07"
"2011-07-27",2011,7,3,30,"Wednesday",4,"Summer","Weekday","2011-07"
"2011-07-28",2011,7,3,30,"Thursday",5,"Summer","Weekday","2011-07"
"2011-07-29",2011,7,3,30,"Friday",6,"Summer","Weekday","2011-07"
"2011-07-31",2011,7,3,31,"Sunday",1,"Summer","Weekend","2011-07"
"2011-08-01",2011,8,3,31,"Monday",2,"Summer","Weekday","2011-08"
"2011-08-02",2011,8,3,31,"Tuesday",3,"Summer","Weekday","2011-08"
"2011-08-03",2011,8,3,31,"Wednesday",4,"Summer","Weekday","2011-08"
"2011-08-04",2011,8,3,31,"Thursday",5,"Summer","Weekday","2011-08"
"2011-08-05",2011,8,3,31,"Friday",6,"Summer","Weekday","2011-08"
"2011-08-07",2011,8,3,32,"Sunday",1,"Summer","Weekend","2011-08"
"2011-08-08",2011,8,3,32,"Monday",2,"Summer","Weekday","2011-08"
"2011-08-09",2011,8,3,32,"Tuesday",3,"Summer","Weekday","2011-08"
"2011-08-10",2011,8,3,32,"Wednesday",4,"Summer","Weekday","2011-08"
"2011-08-11",2011,8,3,32,"Thursday",5,"Summer","Weekday","2011-08"
"2011-08-12",2011,8,3,32,"Friday",6,"Summer","Weekday","2011-08"
"2011-08-14",2011,8,3,33,"Sunday",1,"Summer","Weekend","2011-08"
"2011-08-15",2011,8,3,33,"Monday",2,"Summer","Weekday","2011-08"
"2011-08-16",2011,8,3,33,"Tuesday",3,"Summer","Weekday","2011-08"
"2011-08-17",2011,8,3,33,"Wednesday",4,"Summer","Weekday","2011-08"
"2011-08-18",2011,8,3,33,"Thursday",5,"Summer","Weekday","2011-08"
"2011-08-19",2011,8,3,33,"Friday",6,"Summer","Weekday","2011-08"
"2011-08-21",2011,8,3,34,"Sunday",1,"Summer","Weekend","2011-08"
"2011-08-22",2011,8,3,34,"Monday",2,"Summer","Weekday","2011-08"
"2011-08-23",2011,8,3,34,"Tuesday",3,"Summer","Weekday","2011-08"
"2011-08-24",2011,8,3,34,"Wednesday",4,"Summer","Weekday","2011-08"
"2011-08-25",2011,8,3,34,"Thursday",5,"Summer","Weekday","2011-08"
"2011-08-26",2011,8,3,34,"Friday",6,"Summer","Weekday","2011-08"
"2011-08-28",2011,8,3,35,"Sunday",1,"Summer","Weekend","2011-08"
"2011-08-30",2011,8,3,35,"Tuesday",3,"Summer","Weekday","2011-08"
"2011-08-31",2011,8,3,35,"Wednesday",4,"Summer","Weekday","2011-08"
"2011-09-01",2011,9,3,35,"Thursday",5,"Fall","Weekday","2011-09"
"2011-09-02",2011,9,3,35,"Friday",6,"Fall","Weekday","2011-09"
"2011-09-04",2011,9,3,36,"Sunday",1,"Fall","Weekend","2011-09"
"2011-09-05",2011,9,3,36,"Monday",2,"Fall","Weekday","2011-09"
"2011-09-06",2011,9,3,36,"Tuesday",3,"Fall","Weekday","2011-09"
"2011-09-07",2011,9,3,36,"Wednesday",4,"Fall","Weekday","2011-09"
"2011-09-08",2011,9,3,36,"Thursday",5,"Fall","Weekday","2011-09"
"2011-09-09",2011,9,3,36,"Friday",6,"Fall","Weekday","2011-09"
"2011-09-11",2011,9,3,37,"Sunday",1,"Fall","Weekend","2011-09"
"2011-09-12",2011,9,3,37,"Monday",2,"Fall","Weekday","2011-09"
"2011-09-13",2011,9,3,37,"Tuesday",3,"Fall","Weekday","2011-09"
"2011-09-14",2011,9,3,37,"Wednesday",4,"Fall","Weekday","2011-09"
"2011-09-15",2011,9,3,37,"Thursday",5,"Fall","Weekday","2011-09"
"2011-09-16",2011,9,3,37,"Friday",6,"Fall","Weekday","2011-09"
"2011-09-18",2011,9,3,38,"Sunday",1,"Fall","Weekend","2011-09"
"2011-09-19",2011,9,3,38,"Monday",2,"Fall","Weekday","2011-09"
"2011-09-20",2011,9,3,38,"Tuesday",3,"Fall","Weekday","2011-09"
"2011-09-21",2011,9,3,38,"Wednesday",4,"Fall","Weekday","2011-09"
"2011-09-22",2011,9,3,38,"Thursday",5,"Fall","Weekday","2011-09"
"2011-09-23",2011,9,3,38,"Friday",6,"Fall","Weekday","2011-09"
"2011-09-25",2011,9,3,39,"Sunday",1,"Fall","Weekend","2011-09"
"2011-09-26",2011,9,3,39,"Monday",2,"Fall","Weekday","2011-09"
"2011-09-27",2011,9,3,39,"Tuesday",3,"Fall","Weekday","2011-09"
"2011-09-28",2011,9,3,39,"Wednesday",4,"Fall","Weekday","2011-09"
"2011-09-29",2011,9,3,39,"Thursday",5,"Fall","Weekday","2011-09"
"2011-09-30",2011,9,3,39,"Friday",6,"Fall","Weekday","2011-09"
"2011-10-02",2011,10,4,40,"Sunday",1,"Fall","Weekend","2011-10"
"2011-10-03",2011,10,4,40,"Monday",2,"Fall","Weekday","2011-10"
"2011-10-04",2011,10,4,40,"Tuesday",3,"Fall","Weekday","2011-10"
"2011-10-05",2011,10,4,40,"Wednesday",4,"Fall","Weekday","2011-10"
"2011-10-06",2011,10,4,40,"Thursday",5,"Fall","Weekday","2011-10"
"2011-10-07",2011,10,4,40,"Friday",6,"Fall","Weekday","2011-10"
"2011-10-09",2011,10,4,41,"Sunday",1,"Fall","Weekend","2011-10"
"2011-10-10",2011,10,4,41,"Monday",2,"Fall","Weekday","2011-10"
"2011-10-11",2011,10,4,41,"Tuesday",3,"Fall","Weekday","2011-10"
"2011-10-12",2011,10,4,41,"Wednesday",4,"Fall","Weekday","2011-10"
"2011-10-13",2011,10,4,41,"Thursday",5,"Fall","Weekday","2011-10"
"2011-10-14",2011,10,4,41,"Friday",6,"Fall","Weekday","2011-10"
"2011-10-16",2011,10,4,42,"Sunday",1,"Fall","Weekend","2011-10"
"2011-10-17",2011,10,4,42,"Monday",2,"Fall","Weekday","2011-10"
"2011-10-18",2011,10,4,42,"Tuesday",3,"Fall","Weekday","2011-10"
"2011-10-19",2011,10,4,42,"Wednesday",4,"Fall","Weekday","2011-10"
"2011-10-20",2011,10,4,42,"Thursday",5,"Fall","Weekday","2011-10"
"2011-10-21",2011,10,4,42,"Friday",6,"Fall","Weekday","2011-10"
"2011-10-23",2011,10,4,43,"Sunday",1,"Fall","Weekend","2011-10"
"2011-10-24",2011,10,4,43,"Monday",2,"Fall","Weekday","2011-10"
"2011-10-25",2011,10,4,43,"Tuesday",3,"Fall","Weekday","2011-10"
"2011-10-26",2011,10,4,43,"Wednesday",4,"Fall","Weekday","2011-10"
"2011-10-27",2011,10,4,43,"Thursday",5,"Fall","Weekday","2011-10"
"2011-10-28",2011,10,4,43,"Friday",6,"Fall","Weekday","2011-10"
"2011-10-30",2011,10,4,44,"Sunday",1,"Fall","Weekend","2011-10"
"2011-10-31",2011,10,4,44,"Monday",2,"Fall","Weekday","2011-10"
"2011-11-01",2011,11,4,44,"Tuesday",3,"Fall","Weekday","2011-11"
"2011-11-02",2011,11,4,44,"Wednesday",4,"Fall","Weekday","2011-11"
"2011-11-03",2011,11,4,44,"Thursday",5,"Fall","Weekday","2011-11"
"2011-11-04",2011,11,4,44,"Friday",6,"Fall","Weekday","2011-11"
"2011-11-06",2011,11,4,45,"Sunday",1,"Fall","Weekend","2011-11"
"2011-11-07",2011,11,4,45,"Monday",2,"Fall","Weekday","2011-11"
"2011-11-08",2011,11,4,45,"Tuesday",3,"Fall","Weekday","2011-11"
"2011-11-09",2011,11,4,45,"Wednesday",4,"Fall","Weekday","2011-11"
"2011-11-10",2011,11,4,45,"Thursday",5,"Fall","Weekday","2011-11"
"2011-11-11",2011,11,4,45,"Friday",6,"Fall","Weekday","2011-11"
"2011-11-13",2011,11,4,46,"Sunday",1,"Fall","Weekend","2011-11"
"2011-11-14",2011,11,4,46,"Monday",2,"Fall","Weekday","2011-11"
"2011-11-15",2011,11,4,46,"Tuesday",3,"Fall","Weekday","2011-11"
"2011-11-16",2011,11,4,46,"Wednesday",4,"Fall","Weekday","2011-11"
"2011-11-17",2011,11,4,46,"Thursday",5,"Fall","Weekday","2011-11"
"2011-11-18",2011,11,4,46,"Friday",6,"Fall","Weekday","2011-11"
"2011-11-20",2011,11,4,47,"Sunday",1,"Fall","Weekend","2011-11"
"2011-11-21",2011,11,4,47,"Monday",2,"Fall","Weekday","2011-11"
"2011-11-22",2011,11,4,47,"Tuesday",3,"Fall","Weekday","2011-11"
"2011-11-23",2011,11,4,47,"Wednesday",4,"Fall","Weekday","2011-11"
"2011-11-24",2011,11,4,47,"Thursday",5,"Fall","Weekday","2011-11"
"2011-11-25",2011,11,4,47,"Friday",6,"Fall","Weekday","2011-11"
"2011-11-27",2011,11,4,48,"Sunday",1,"Fall","Weekend","2011-11"
"2011-11-28",2011,11,4,48,"Monday",2,"Fall","Weekday","2011-11"
"2011-11-29",2011,11,4,48,"Tuesday",3,"Fall","Weekday","2011-11"
"2011-11-30",2011,11,4,48,"Wednesday",4,"Fall","Weekday","2011-11"
"2011-12-01",2011,12,4,48,"Thursday",5,"Winter","Weekday","2011-12"
"2011-12-02",2011,12,4,48,"Friday",6,"Winter","Weekday","2011-12"
"2011-12-04",2011,12,4,49,"Sunday",1,"Winter","Weekend","2011-12"
"2011-12-05",2011,12,4,49,"Monday",2,"Winter","Weekday","2011-12"
"2011-12-06",2011,12,4,49,"Tuesday",3,"Winter","Weekday","2011-12"
"2011-12-07",2011,12,4,49,"Wednesday",4,"Winter","Weekday","2011-12"
"2011-12-08",2011,12,4,49,"Thursday",5,"Winter","Weekday","2011-12"
"2011-12-09",2011,12,4,49,"Friday",6,"Winter","Weekday","2011-12"
