"CustomerID","Country","PurchaseCount","LifetimeValue","AvgOrderValue","CustomerSegment"
"16558","United Kingdom",20,1398.95,3.04,"VIP"
"13668","United Kingdom",21,1398.75,2.98,"VIP"
"12473","Germany",5,1398.42,8.32,"Regular"
"17107","United Kingdom",6,1397.63,3.34,"Regular"
"12669","France",3,1387.88,13.74,"Occasional"
"17581","United Kingdom",25,1371.88,3.12,"VIP"
"17059","United Kingdom",5,1371.39,2.66,"Regular"
"13767","United Kingdom",37,1366.58,3.71,"VIP"
"12428","Finland",9,1360.46,4.63,"Regular"
"12352","Norway",8,1354.11,15.93,"Regular"
"12621","Germany",20,1350.7,2.89,"VIP"
"15640","United Kingdom",15,1350.1,2.79,"VIP"
"13137","United Kingdom",8,1348.33,1.92,"Regular"
"14936","Channel Islands",8,1339.19,3.68,"Regular"
"16712","United Kingdom",11,1327.62,2.97,"VIP"
"15493","United Kingdom",5,1319.29,4.44,"Regular"
"13742","United Kingdom",12,1317.24,4.1,"VIP"
"14702","United Kingdom",17,1317.16,3.8,"VIP"
"12477","Germany",6,1314.96,4.38,"Regular"
"15098","United Kingdom",3,1303.95,434.65,"Occasional"
"17315","United Kingdom",38,1301.04,2.75,"VIP"
"15998","United Kingdom",5,1291.79,2.55,"Regular"
"17340","United Kingdom",11,1281.59,3.15,"VIP"
"14730","United Kingdom",8,1265.42,2.53,"Regular"
"15513","United Kingdom",19,1265.07,4.11,"VIP"
"13871","United Kingdom",13,1263.66,3.76,"VIP"
"14049","United Kingdom",4,1254.48,2.57,"Occasional"
"17813","United Kingdom",5,1249.7,3.37,"Regular"
"16746","United Kingdom",18,1249.13,2.78,"VIP"
"17049","United Kingdom",9,1248.82,3.93,"Regular"
"17337","United Kingdom",4,1247.4,2.3,"Occasional"
"17576","United Kingdom",19,1239.39,3.02,"VIP"
"13468","United Kingdom",37,1239.18,4.1,"VIP"
"15021","United Kingdom",9,1233.21,2.61,"Regular"
"15993","United Kingdom",7,1233.01,2.23,"Regular"
"17719","United Kingdom",15,1226.47,4.48,"VIP"
"18283","United Kingdom",16,1220.93,1.61,"VIP"
"16705","United Kingdom",20,1216.4,4.51,"VIP"
"12474","Germany",18,1215.04,2.87,"VIP"
"17389","United Kingdom",34,1211.72,5.69,"VIP"
"13050","United Kingdom",17,1204.52,2.99,"VIP"
"17346","United Kingdom",15,1199.83,2.4,"VIP"
"15570","United Kingdom",12,1194.26,3.7,"VIP"
"13709","United Kingdom",13,1193.16,3.55,"VIP"
"16910","United Kingdom",8,1188.85,2.17,"Regular"
"15708","United Kingdom",7,1178.73,4.09,"Regular"
"17850","United Kingdom",34,1176.23,3.96,"VIP"
"17428","United Kingdom",28,1171.87,3.57,"VIP"
"17858","United Kingdom",12,1171.13,5.89,"VIP"
"13408","United Kingdom",62,1165.89,2.44,"VIP"
"17220","United Kingdom",14,1161.42,2.46,"VIP"
"15034","United Kingdom",8,1155.17,2.93,"Regular"
"15529","United Kingdom",11,1153.89,1.72,"VIP"
"17965","United Kingdom",14,1147.63,3.49,"VIP"
"17450","United Kingdom",46,1143.32,3.39,"VIP"
"15856","United Kingdom",27,1142.9,1.77,"VIP"
"12539","Spain",4,1140.19,4.18,"Occasional"
"12432","Norway",5,1139.49,10.55,"Regular"
"15443","United Kingdom",7,1133.26,2.97,"Regular"
"12476","Germany",11,1125.63,4.83,"VIP"
"12444","Norway",5,1119.13,6.36,"Regular"
"15834","United Kingdom",4,1110.97,4.07,"Occasional"
"17364","United Kingdom",11,1110.96,2.7,"VIP"
"17634","United Kingdom",9,1106.83,3.73,"Regular"
"13148","United Kingdom",12,1106.21,3.47,"VIP"
"17686","United Kingdom",7,1103.64,3.86,"Regular"
"17602","United Kingdom",6,1101.21,1.97,"Regular"
"15601","United Kingdom",14,1101.2,2.69,"VIP"
"15358","United Kingdom",22,1096.45,1.99,"VIP"
"17377","United Kingdom",20,1088.55,2.6,"VIP"
"16133","United Kingdom",33,1085.93,3.21,"VIP"
"15615","United Kingdom",23,1084.12,2.56,"VIP"
"14031","United Kingdom",19,1081.77,4.33,"VIP"
"12484","Spain",6,1081.63,3.13,"Regular"
"12678","France",12,1081.52,6.55,"VIP"
"14085","United Kingdom",18,1080.53,2.4,"VIP"
"14546","United Kingdom",5,1068.97,2.68,"Regular"
"13523","United Kingdom",5,1066.63,6.2,"Regular"
"13174","United Kingdom",3,1063.67,3.39,"Occasional"
"14506","United Kingdom",5,1063.41,3.37,"Regular"
"15033","United Kingdom",10,1063.25,2.08,"VIP"
"16814","United Kingdom",21,1060.41,3.27,"VIP"
"14547","United Kingdom",8,1051.8,2.87,"Regular"
"13755","United Kingdom",9,1050.93,3.07,"Regular"
"12362","Belgium",10,1048.29,3.94,"VIP"
"16523","United Kingdom",21,1047.83,3.61,"VIP"
"14701","United Kingdom",9,1046.87,3.12,"Regular"
"15078","United Kingdom",32,1042.55,2.37,"VIP"
"14573","United Kingdom",9,1041.79,4.43,"Regular"
"15356","United Kingdom",10,1037.24,2.0,"VIP"
"15061","United Kingdom",48,1037.22,2.57,"VIP"
"12637","France",8,1036.74,2.66,"Regular"
"18069","United Kingdom",5,1034.84,2.2,"Regular"
"17799","United Kingdom",10,1033.37,2.53,"VIP"
"12783","Portugal",6,1027.2,12.23,"Regular"
"17865","United Kingdom",20,1022.56,2.76,"VIP"
"12569","Germany",32,1021.7,5.43,"VIP"
"15861","United Kingdom",8,1021.67,1.87,"Regular"
"12841","United Kingdom",25,1005.97,2.4,"VIP"
"15150","United Kingdom",10,1004.63,2.93,"VIP"
"13018","United Kingdom",28,998.54,2.18,"VIP"
"12749","United Kingdom",5,994.99,5.0,"Regular"
"15532","United Kingdom",4,992.81,3.88,"Occasional"
"14030","United Kingdom",8,985.23,4.05,"Regular"
"16609","United Kingdom",7,983.78,3.56,"Regular"
"15249","United Kingdom",13,981.3,2.8,"VIP"
"15727","United Kingdom",7,980.94,3.25,"Regular"
"14903","United Kingdom",5,980.74,2.76,"Regular"
"14051","United Kingdom",23,978.75,4.66,"VIP"
"17758","United Kingdom",8,978.7,2.38,"Regular"
"16873","United Kingdom",6,977.54,3.5,"Regular"
"14978","United Kingdom",5,975.82,4.52,"Regular"
"14395","United Kingdom",9,975.47,2.79,"Regular"
"15804","United Kingdom",13,972.15,3.71,"VIP"
"17449","United Kingdom",7,967.05,3.49,"Regular"
"16265","United Kingdom",9,965.92,3.74,"Regular"
"12720","Germany",25,956.36,2.7,"VIP"
"12705","Germany",9,955.58,2.86,"Regular"
"12417","Belgium",8,952.83,5.64,"Regular"
"12766","Portugal",7,951.95,3.07,"Regular"
"17769","United Kingdom",10,948.87,3.06,"VIP"
"16710","United Kingdom",10,947.46,2.36,"VIP"
"14849","United Kingdom",25,946.84,2.44,"VIP"
"12502","Spain",5,944.51,6.43,"Regular"
"14525","United Kingdom",9,942.61,3.24,"Regular"
"17954","United Kingdom",12,941.92,1.94,"VIP"
"15152","United Kingdom",13,941.72,3.47,"VIP"
"17975","United Kingdom",13,937.93,3.17,"VIP"
"14755","United Kingdom",11,937.92,3.99,"VIP"
"12683","France",15,935.39,2.72,"VIP"
"16791","United Kingdom",7,935.13,2.92,"Regular"
"13451","United Kingdom",5,931.11,2.1,"Regular"
"13458","United Kingdom",14,930.26,2.44,"VIP"
"18041","United Kingdom",21,928.97,1.97,"VIP"
"14704","United Kingdom",9,926.51,2.23,"Regular"
"15189","United Kingdom",41,924.73,4.36,"VIP"
"12433","Norway",7,920.95,2.19,"Regular"
"12731","France",12,916.85,3.35,"VIP"
"17530","United Kingdom",10,916.55,2.33,"VIP"
"14587","United Kingdom",9,915.0,2.39,"Regular"
"16919","United Kingdom",11,913.95,2.79,"VIP"
"17365","United Kingdom",8,905.29,1.93,"Regular"
"13869","United Kingdom",4,903.99,2.94,"Occasional"
"14961","United Kingdom",9,903.96,2.9,"Regular"
"14530","United Kingdom",6,897.79,4.16,"Regular"
"14040","United Kingdom",12,897.02,3.82,"VIP"
"18116","United Kingdom",8,895.89,2.37,"Regular"
"13418","United Kingdom",18,893.2,2.94,"VIP"
"13694","United Kingdom",50,891.19,1.57,"VIP"
"13015","United Kingdom",5,886.26,5.04,"Regular"
"17444","Canada",3,883.9,6.55,"Occasional"
"14390","United Kingdom",9,880.84,3.08,"Regular"
"17050","United Kingdom",6,878.14,2.78,"Regular"
"14277","France",3,869.98,3.87,"Occasional"
"12451","Switzerland",5,867.33,2.45,"Regular"
"17652","United Kingdom",12,866.29,3.34,"VIP"
"18087","United Kingdom",2,853.62,426.81,"Occasional"
"18122","United Kingdom",6,851.58,2.34,"Regular"
"13564","United Kingdom",3,850.65,10.25,"Occasional"
"17419","United Kingdom",12,848.97,4.12,"VIP"
"12712","Germany",13,848.53,6.38,"VIP"
"14800","United Kingdom",12,846.05,2.2,"VIP"
"14713","United Kingdom",11,838.68,2.47,"VIP"
"16942","United Kingdom",9,836.46,2.98,"Regular"
"13842","United Kingdom",9,833.12,4.04,"Regular"
"13985","United Kingdom",15,832.19,2.38,"VIP"
"13534","United Kingdom",25,832.06,2.81,"VIP"
"17677","United Kingdom",30,830.83,2.73,"VIP"
"12626","Germany",9,829.39,2.82,"Regular"
"14535","United Kingdom",3,829.07,2.51,"Occasional"
"17509","United Kingdom",8,826.87,2.26,"Regular"
"15805","United Kingdom",17,825.46,2.74,"VIP"
"17613","United Kingdom",14,825.29,2.65,"VIP"
"17571","United Kingdom",4,824.71,2.76,"Occasional"
"14524","United Kingdom",9,820.66,4.04,"Regular"
"13001","United Kingdom",13,820.34,2.42,"VIP"
"14808","United Kingdom",8,819.34,3.49,"Regular"
"17426","United Kingdom",6,816.98,3.01,"Regular"
"13437","United Kingdom",7,816.46,4.89,"Regular"
"17961","United Kingdom",39,814.79,3.27,"VIP"
"12472","Germany",7,812.81,2.4,"Regular"
"13004","United Kingdom",18,812.51,2.01,"VIP"
"12597","Spain",4,812.07,3.94,"Occasional"
"18223","United Kingdom",14,807.16,2.97,"VIP"
"14639","United Kingdom",6,807.0,4.69,"Regular"
"14572","United Kingdom",7,806.73,2.99,"Regular"
"13269","United Kingdom",15,804.37,2.55,"VIP"
"16556","United Kingdom",7,803.76,3.88,"Regular"
"16110","United Kingdom",3,802.32,2.27,"Occasional"
"17625","United Kingdom",4,799.97,2.54,"Occasional"
"17528","United Kingdom",8,799.94,3.16,"Regular"
"12856","United Kingdom",6,798.63,2.54,"Regular"
"12437","France",18,798.5,4.01,"VIP"
"17218","United Kingdom",10,797.32,2.91,"VIP"
"14733","United Kingdom",12,794.45,3.93,"VIP"
"16839","United Kingdom",34,793.56,2.98,"VIP"
"16474","United Kingdom",7,791.92,2.2,"Regular"
"13735","United Kingdom",4,791.13,4.04,"Occasional"
"13521","United Kingdom",3,790.98,1.81,"Occasional"
"15058","United Kingdom",11,790.51,2.86,"VIP"
"16779","United Kingdom",22,790.35,2.37,"VIP"
"15065","United Kingdom",4,788.17,5.08,"Occasional"
"14653","United Kingdom",7,786.8,3.32,"Regular"
"16813","United Kingdom",10,785.95,1.75,"VIP"
"13102","United Kingdom",24,784.94,2.58,"VIP"
"15426","United Kingdom",5,784.83,2.69,"Regular"
"13334","United Kingdom",3,784.2,2.93,"Occasional"
"15572","United Kingdom",7,783.38,3.64,"Regular"
"13124","United Kingdom",3,781.02,3.32,"Occasional"
"14071","United Kingdom",8,778.84,2.4,"Regular"
"14472","United Kingdom",8,777.25,2.77,"Regular"
"16719","United Kingdom",7,777.05,3.87,"Regular"
"16426","United Kingdom",10,776.24,2.09,"VIP"
"14842","United Kingdom",4,772.31,5.33,"Occasional"
"16255","United Kingdom",8,769.77,2.85,"Regular"
"12583","France",15,766.59,3.1,"VIP"
"17406","United Kingdom",3,764.44,6.76,"Occasional"
"18229","United Kingdom",20,758.76,4.63,"VIP"
"13614","United Kingdom",4,758.75,3.77,"Occasional"
"16316","United Kingdom",8,756.58,5.01,"Regular"
"15622","United Kingdom",9,755.49,4.08,"Regular"
"12836","United Kingdom",4,750.37,4.29,"Occasional"
"15271","United Kingdom",15,749.81,2.74,"VIP"
"16607","United Kingdom",14,747.83,4.35,"VIP"
"15194","United Kingdom",15,746.83,2.41,"VIP"
"13810","Germany",3,744.73,21.28,"Occasional"
"15808","United Kingdom",4,744.4,3.58,"Occasional"
"16670","United Kingdom",11,744.0,2.95,"VIP"
"16905","United Kingdom",7,743.63,3.58,"Regular"
"14659","United Kingdom",9,743.19,2.94,"Regular"
"15059","United Kingdom",9,742.87,3.13,"Regular"
"13975","United Kingdom",6,742.05,2.2,"Regular"
"12481","Germany",10,741.05,3.41,"VIP"
"13267","United Kingdom",19,740.77,3.51,"VIP"
"17068","United Kingdom",21,740.49,2.5,"VIP"
"16626","United Kingdom",17,740.46,4.14,"VIP"
"13798","United Kingdom",57,738.67,2.12,"VIP"
"12662","Germany",11,737.49,3.21,"VIP"
"15984","United Kingdom",10,737.36,2.73,"VIP"
"14329","United Kingdom",7,737.3,2.85,"Regular"
"15382","United Kingdom",6,735.9,2.44,"Regular"
"16775","United Kingdom",11,733.89,4.64,"VIP"
"14426","United Kingdom",10,731.66,3.27,"VIP"
"15301","United Kingdom",12,730.12,3.0,"VIP"
"15696","United Kingdom",8,729.53,4.27,"Regular"
"15786","United Kingdom",3,729.53,2.73,"Occasional"
"16771","United Kingdom",5,728.29,2.86,"Regular"
"13209","United Kingdom",8,728.0,2.27,"Regular"
"15453","United Kingdom",7,727.96,2.55,"Regular"
"14735","United Kingdom",32,727.66,3.75,"VIP"
"13069","United Kingdom",24,724.95,1.71,"VIP"
"15752","United Kingdom",7,720.35,1.75,"Regular"
"12584","Italy",9,718.5,7.48,"Regular"
"12590","Germany",2,717.22,10.55,"Occasional"
"12867","United Kingdom",7,716.26,1.33,"Regular"
"17400","United Kingdom",5,714.76,3.36,"Regular"
"14684","United Kingdom",5,713.45,1.69,"Regular"
"15750","United Kingdom",8,713.25,2.43,"Regular"
"16242","United Kingdom",7,710.33,2.42,"Regular"
"13505","Switzerland",4,708.86,3.3,"Occasional"
"16843","United Kingdom",16,708.63,1.87,"VIP"
"16633","United Kingdom",6,708.23,4.66,"Regular"
"15874","United Kingdom",7,707.69,5.9,"Regular"
"12449","Belgium",4,705.69,3.69,"Occasional"
"12431","Australia",13,705.57,3.9,"VIP"
"12688","Israel",1,705.33,4.12,"Occasional"
"15687","United Kingdom",9,705.21,4.25,"Regular"
"12971","United Kingdom",86,704.65,2.31,"VIP"
"15436","United Kingdom",3,703.66,2.14,"Occasional"
"16016","United Kingdom",8,703.46,2.99,"Regular"
"13090","United Kingdom",14,702.85,4.53,"VIP"
"12700","France",4,702.13,2.62,"Occasional"
"13988","United Kingdom",6,701.94,3.0,"Regular"
"16717","United Kingdom",6,698.57,3.51,"Regular"
"15701","United Kingdom",4,697.18,2.94,"Occasional"
"14688","United Kingdom",21,696.85,2.13,"VIP"
"16837","United Kingdom",11,693.51,4.2,"VIP"
"13013","United Kingdom",13,692.8,3.16,"VIP"
"15531","United Kingdom",2,692.66,3.04,"Occasional"
"18225","United Kingdom",12,692.45,2.56,"VIP"
"14462","United Kingdom",11,692.29,2.88,"VIP"
"16782","United Kingdom",13,692.1,3.64,"VIP"
"12709","Germany",15,691.41,3.32,"VIP"
"13599","United Kingdom",21,690.9,2.8,"VIP"
"13113","United Kingdom",24,690.41,3.45,"VIP"
"16007","United Kingdom",4,687.66,1.79,"Occasional"
"17211","United Kingdom",8,687.31,3.26,"Regular"
"13110","United Kingdom",7,686.78,4.74,"Regular"
"15373","United Kingdom",12,686.58,5.2,"VIP"
"16938","United Kingdom",4,686.31,2.85,"Occasional"
"16745","United Kingdom",17,686.3,1.92,"VIP"
"13268","United Kingdom",11,684.62,1.56,"VIP"
"14973","United Kingdom",3,680.31,21.26,"Occasional"
"16684","United Kingdom",28,679.1,2.45,"VIP"
"13232","United Kingdom",7,678.35,3.28,"Regular"
"12708","Germany",10,677.68,4.32,"VIP"
"13983","United Kingdom",12,677.31,6.33,"VIP"
"13047","United Kingdom",10,676.31,3.93,"VIP"
"13993","United Kingdom",9,676.02,5.59,"Regular"
"12627","Germany",7,675.72,2.94,"Regular"
"15296","United Kingdom",6,674.66,3.48,"Regular"
"16348","United Kingdom",7,673.77,2.87,"Regular"
"16655","United Kingdom",6,672.21,2.58,"Regular"
"12957","United Kingdom",8,670.58,2.82,"Regular"
"14461","United Kingdom",3,669.93,3.72,"Occasional"
"16115","United Kingdom",8,669.36,2.36,"Regular"
"16422","United Kingdom",51,669.34,1.81,"VIP"
"16525","United Kingdom",26,669.34,3.66,"VIP"
"12517","Germany",5,668.18,2.35,"Regular"
"16327","United Kingdom",6,666.73,2.09,"Regular"
"16880","United Kingdom",7,665.83,3.74,"Regular"
"12647","Germany",12,665.36,5.5,"VIP"
"15290","United Kingdom",18,663.14,3.25,"VIP"
"15464","United Kingdom",1,661.11,4.21,"Occasional"
"12490","France",10,659.75,2.69,"VIP"
"15674","United Kingdom",5,658.92,5.78,"Regular"
"14583","United Kingdom",5,658.83,2.0,"Regular"
"16370","United Kingdom",4,657.72,2.88,"Occasional"
"12378","Switzerland",1,656.44,3.0,"Occasional"
"17837","United Kingdom",8,653.26,3.87,"Regular"
"16393","United Kingdom",13,652.4,1.98,"VIP"
"17213","United Kingdom",7,652.4,4.16,"Regular"
"13471","United Kingdom",4,651.96,2.51,"Occasional"
"13610","United Kingdom",7,650.65,2.88,"Regular"
"15465","United Kingdom",18,649.78,6.7,"VIP"
"15427","United Kingdom",3,648.43,2.12,"Occasional"
"14099","United Kingdom",11,648.39,2.59,"VIP"
"16550","United Kingdom",5,646.09,2.57,"Regular"
"15676","United Kingdom",3,645.56,3.2,"Occasional"
"15907","United Kingdom",3,644.97,2.59,"Occasional"
"16187","United Kingdom",15,639.11,2.17,"VIP"
"15511","United Kingdom",5,638.94,3.99,"Regular"
"17659","United Kingdom",12,638.51,4.04,"VIP"
"17114","United Kingdom",8,637.98,5.02,"Regular"
"13527","United Kingdom",7,637.41,2.86,"Regular"
"15351","United Kingdom",7,636.56,2.83,"Regular"
"14016","EIRE",4,635.88,3.95,"Occasional"
"12619","Germany",9,635.09,7.06,"Regular"
"16081","United Kingdom",5,635.06,2.8,"Regular"
"16891","United Kingdom",5,634.44,3.13,"Regular"
"16940","United Kingdom",3,634.03,2.08,"Occasional"
"15521","United Kingdom",8,632.44,3.42,"Regular"
"17416","United Kingdom",7,631.74,2.35,"Regular"
"14221","United Kingdom",9,631.33,3.27,"Regular"
"16049","United Kingdom",3,630.23,2.02,"Occasional"
"15144","United Kingdom",17,629.43,2.9,"VIP"
"16409","United Kingdom",5,628.22,2.71,"Regular"
"16700","United Kingdom",13,627.42,2.04,"VIP"
"15416","United Kingdom",4,627.2,3.27,"Occasional"
"13634","United Kingdom",5,626.15,3.33,"Regular"
"16440","United Kingdom",5,625.77,2.22,"Regular"
"14723","United Kingdom",6,624.8,2.25,"Regular"
"14422","United Kingdom",6,623.87,2.81,"Regular"
"14680","United Kingdom",16,623.25,2.42,"VIP"
"13448","United Kingdom",6,620.53,3.18,"Regular"
"16728","United Kingdom",4,619.95,2.3,"Occasional"
"17716","United Kingdom",11,619.86,2.53,"VIP"
"15299","United Kingdom",7,619.61,88.52,"Regular"
"12714","France",5,619.5,2.39,"Regular"
"12395","Belgium",12,619.14,3.97,"VIP"
"12949","United Kingdom",8,618.91,2.88,"Regular"
"17870","United Kingdom",12,617.85,2.21,"VIP"
"12909","United Kingdom",5,615.52,6.76,"Regular"
"14291","United Kingdom",11,614.51,2.59,"VIP"
"15444","United Kingdom",2,613.38,2.8,"Occasional"
"17091","United Kingdom",9,612.27,3.14,"Regular"
"16987","United Kingdom",7,612.11,4.75,"Regular"
"12553","France",10,611.13,3.2,"VIP"
"17191","United Kingdom",7,607.92,2.57,"Regular"
"16800","United Kingdom",1,605.71,3.69,"Occasional"
"12349","Italy",1,605.1,8.29,"Occasional"
"16744","United Kingdom",7,604.66,2.5,"Regular"
"14698","United Kingdom",5,603.27,2.87,"Regular"
"12839","United Kingdom",14,602.95,1.92,"VIP"
"14428","United Kingdom",5,602.11,4.18,"Regular"
"13139","United Kingdom",7,602.01,3.54,"Regular"
"17463","United Kingdom",5,600.84,2.79,"Regular"
"15491","United Kingdom",6,599.89,3.9,"Regular"
"15407","United Kingdom",4,596.19,3.9,"Occasional"
"13344","United Kingdom",3,596.01,5.01,"Occasional"
"14554","United Kingdom",4,595.48,2.76,"Occasional"
"17790","United Kingdom",14,594.11,3.13,"VIP"
"14810","United Kingdom",11,593.66,2.33,"VIP"
"16464","United Kingdom",3,592.07,2.51,"Occasional"
"13994","United Kingdom",6,590.83,3.81,"Regular"
"13452","United Kingdom",2,590.0,295.0,"Occasional"
"13571","United Kingdom",12,588.83,1.73,"VIP"
"17372","United Kingdom",8,588.63,2.33,"Regular"
"18172","United Kingdom",20,587.23,3.11,"VIP"
"17591","United Kingdom",7,586.35,3.53,"Regular"
"14092","United Kingdom",14,584.84,2.73,"VIP"
"13362","United Kingdom",4,580.88,3.5,"Occasional"
"15916","United Kingdom",8,576.95,3.72,"Regular"
"13536","United Kingdom",7,576.07,3.22,"Regular"
"14907","United Kingdom",7,573.11,3.47,"Regular"
"15046","United Kingdom",15,572.83,2.78,"VIP"
"13014","United Kingdom",10,572.82,5.26,"VIP"
"14189","United Kingdom",15,571.87,2.16,"VIP"
"16907","United Kingdom",5,571.78,3.79,"Regular"
"18065","United Kingdom",14,569.14,4.15,"VIP"
"14629","United Kingdom",2,568.3,3.74,"Occasional"
"13764","United Kingdom",3,566.59,2.72,"Occasional"
"12704","Finland",8,565.7,6.43,"Regular"
"12656","France",5,560.63,4.45,"Regular"
"13593","United Kingdom",5,559.81,4.37,"Regular"
"16059","United Kingdom",6,559.68,3.11,"Regular"
"14719","United Kingdom",5,559.38,2.36,"Regular"
"14243","United Kingdom",10,558.54,3.96,"VIP"
"17857","United Kingdom",23,557.95,10.33,"VIP"
"13901","United Kingdom",5,557.33,3.74,"Regular"
"14178","United Kingdom",7,556.92,1.7,"Regular"
"12668","Germany",4,556.82,3.46,"Occasional"
"16945","United Kingdom",19,555.1,2.23,"VIP"
"14432","United Kingdom",6,554.21,1.45,"Regular"
"14591","United Kingdom",4,553.71,2.81,"Occasional"
"14146","United Kingdom",5,553.12,2.63,"Regular"
"14175","United Kingdom",3,552.25,3.71,"Occasional"
"16240","United Kingdom",2,551.9,4.09,"Occasional"
